person_id,first_name,last_name,theme_name,classification,group_code,country
197402,Tomas,Tobé,BorderSecurity,supports,EPP,SWE
197402,Tomas,Tobé,BorderSecurity,supports,EPP,SWE
197402,Tomas,Tobé,AntiIllegalMigration,neutral,EPP,SWE
197402,Tomas,Tobé,AntiIllegalMigration,neutral,EPP,SWE
28150,Kinga,Gál,BorderSecurity,neutral,EPP,HUN
28150,Kinga,Gál,BorderSecurity,neutral,NI,HUN
28150,Kinga,Gál,BorderSecurity,neutral,PFE,HUN
28150,Kinga,Gál,AntiIllegalMigration,neutral,EPP,HUN
28150,Kinga,Gál,AntiIllegalMigration,neutral,NI,HUN
28150,Kinga,Gál,AntiIllegalMigration,neutral,PFE,HUN
197820,Nicola,Procaccini,BorderSecurity,opposes,ECR,ITA
197820,Nicola,Procaccini,BorderSecurity,opposes,ECR,ITA
197820,Nicola,Procaccini,BorderSecurity,opposes,ECR,ITA
197820,Nicola,Procaccini,AntiIllegalMigration,neutral,ECR,ITA
197820,Nicola,Procaccini,AntiIllegalMigration,neutral,ECR,ITA
197820,Nicola,Procaccini,AntiIllegalMigration,neutral,ECR,ITA
135511,Valérie,Hayer,BorderSecurity,neutral,RENEW,FRA
135511,Valérie,Hayer,BorderSecurity,neutral,RENEW,FRA
135511,Valérie,Hayer,BorderSecurity,neutral,RENEW,FRA
135511,Valérie,Hayer,AntiIllegalMigration,neutral,RENEW,FRA
135511,Valérie,Hayer,AntiIllegalMigration,neutral,RENEW,FRA
135511,Valérie,Hayer,AntiIllegalMigration,neutral,RENEW,FRA
197772,Tineke,Strik,BorderSecurity,opposes,GREEN_EFA,NLD
197772,Tineke,Strik,BorderSecurity,opposes,GREEN_EFA,NLD
197772,Tineke,Strik,AntiIllegalMigration,opposes,GREEN_EFA,NLD
197772,Tineke,Strik,AntiIllegalMigration,opposes,GREEN_EFA,NLD
257012,Estrella,Galán,BorderSecurity,opposes,GUE_NGL,ESP
257012,Estrella,Galán,BorderSecurity,opposes,GUE_NGL,ESP
257012,Estrella,Galán,AntiIllegalMigration,neutral,GUE_NGL,ESP
257012,Estrella,Galán,AntiIllegalMigration,neutral,GUE_NGL,ESP
256924,Sarah,Knafo,BorderSecurity,neutral,ESN,FRA
256924,Sarah,Knafo,AntiIllegalMigration,neutral,ESN,FRA
95074,Jeroen,Lenaers,BorderSecurity,neutral,EPP,NLD
95074,Jeroen,Lenaers,BorderSecurity,neutral,EPP,NLD
95074,Jeroen,Lenaers,BorderSecurity,neutral,EPP,NLD
95074,Jeroen,Lenaers,AntiIllegalMigration,neutral,EPP,NLD
