person_id,first_name,last_name,theme_name,group_code,country
256991,Sebastiaan,Stöteler,HamasUsesHumanShields,PFE,NLD
257081,Sebastião,Bugalho,IsraelRightToSelfDefense,EPP,PRT
197543,Bernard,Guetta,IsraelRightToSelfDefense,RENEW,FRA
210480,Marta,Temido,IsraelRightToSelfDefense,SD,PRT
220896,Reinhold,Lopatka,IsraelRightToSelfDefense,EPP,AUT
256872,Fabrice,Leggeri,IsraelRightToSelfDefense,PFE,FRA
218347,Thijs,Reuten,CriticizesOctober7Attack,NI,NLD
256806,Sebastian,Tynkkynen,Hostages,ECR,FIN
256808,Petras,Gražulis,CriticizesOctober7Attack,ESN,LTU
220871,Rihards,Kols,IsraelRightToSelfDefense,ECR,LVA
25758,Ruth,Firmenich,IsraelRightToSelfDefense,NI,DEU
256918,Céline,Imart,HamasUsesHumanShields,EPP,FRA
257026,Michał,Szczerba,HamasUsesHumanShields,EPP,POL
96668,Seán,Kelly,IsraelRightToSelfDefense,EPP,IRL
256846,Ondřej,Kolář,CriticizesOctober7Attack,EPP,CZE
256846,Ondřej,Kolář,HamasUsesHumanShields,EPP,CZE
130100,Hilde,Vautmans,WarIsGenocide,RENEW,BEL
197464,Hannah,Neumann,7OctoberHasBackground,GREEN_EFA,DEU
197392,Evin,Incir,WarIsGenocide,SD,SWE
197543,Bernard,Guetta,IsraelIsResponsibleForContinuingWar,RENEW,FRA
197500,Mounir,Satouri,WarIsGenocide,GREEN_EFA,FRA
256872,Fabrice,Leggeri,IsraelIsResponsibleForContinuingWar,PFE,FRA
256904,Chloé,Ridel,IsraelIsResponsibleForContinuingWar,SD,FRA
257101,Cecilia,Strada,WarIsGenocide,SD,ITA
2152,Leoluca,Orlando,CriticizesIsraelForWestBankOccupation,GREEN_EFA,ITA
2152,Leoluca,Orlando,WarIsGenocide,GREEN_EFA,ITA
256917,Majdouline,Sbai,WarIsGenocide,GREEN_EFA,FRA
256917,Majdouline,Sbai,IsraelIsResponsibleForContinuingWar,GREEN_EFA,FRA
256813,Vladimir,Prebilič,WarIsGenocide,GREEN_EFA,SVN
130100,Hilde,Vautmans,ENDEUIsraelAssociation,RENEW,BEL
197464,Hannah,Neumann,ResettlementOpponent,GREEN_EFA,DEU
204332,Barry,Andrews,ResettlementOpponent,RENEW,IRL
218347,Thijs,Reuten,ResettlementOpponent,NI,NLD
256904,Chloé,Ridel,ResettlementOpponent,SD,FRA
233862,Matjaž,Nemec,ResettlementOpponent,SD,SVN
257101,Cecilia,Strada,ResettlementOpponent,SD,ITA
197447,Irena,Joveva,ENDEUIsraelAssociation,RENEW,SVN
256993,Leire,Pajín,ResettlementOpponent,SD,ESP
197470,Saskia,Bricmont,ResettlementOpponent,GREEN_EFA,BEL
197395,Alice,Kuhnke,ENDEUIsraelAssociation,GREEN_EFA,SWE
256917,Majdouline,Sbai,ResettlementOpponent,GREEN_EFA,FRA
124984,Lynn,Boylan,ResettlementOpponent,GUE_NGL,IRL
23699,Kateřina,Konečná,ResettlementOpponent,GUE_NGL,CZE
257067,Grzegorz,Braun,IsraelTerroristState,NI,POL
197552,Veronika,Vrecionová,ResettlementOpponent,ECR,CZE
197533,Manon,Aubry,ENDEUIsraelAssociation,GUE_NGL,FRA
245770,Irene,Montero,ResettlementOpponent,GUE_NGL,ESP
233862,Matjaž,Nemec,CallsForCeasefire,SD,SVN
257296,Nina,Carberry,CallsForCeasefire,EPP,IRL
