person_id,first_name,last_name,theme_name,group_code,country
256904,Chloé,Ridel,CriticizesOctober7Attack,SD,FRA
256846,Ondřej,Kolář,CriticizesOctober7Attack,EPP,CZE
256904,Chloé,Ridel,WarIsGenocide,SD,FRA
197533,Manon,Aubry,WarIsGenocide,GUE_NGL,FRA
197533,Manon,Aubry,WarIsGenocide,GUE_NGL,FRA
197533,Manon,Aubry,WarIsGenocide,GUE_NGL,FRA
197533,Manon,Aubry,WarIsGenocide,GUE_NGL,FRA
220896,Reinhold,Lopatka,IsraelRightToSelfDefense,EPP,AUT
256806,Sebastian,Tynkkynen,IsraelRightToSelfDefense,ECR,FIN
220871,Rihards,Kols,IsraelRightToSelfDefense,ECR,LVA
256918,Céline,Imart,HamasUsesHumanShields,EPP,FRA
256846,Ondřej,Kolář,HamasUsesHumanShields,EPP,CZE
257011,Lucia,Yar,IsraelRightToSelfDefense,RENEW,SVK
233862,Matjaž,Nemec,CallsForCeasefire,SD,SVN
233862,Matjaž,Nemec,CallsForCeasefire,SD,SVN
257437,Catarina,Vieira,CallsForCeasefire,GREEN_EFA,NLD
257296,Nina,Carberry,CallsForCeasefire,EPP,IRL
256989,Fidias,Panayiotou,RecognizePalestine,NI,CYP
197464,Hannah,Neumann,ResettlementOpponent,GREEN_EFA,DEU
197464,Hannah,Neumann,ResettlementOpponent,GREEN_EFA,DEU
204332,Barry,Andrews,ResettlementOpponent,RENEW,IRL
204332,Barry,Andrews,ResettlementOpponent,RENEW,IRL
210480,Marta,Temido,ENDEUIsraelAssociation,SD,PRT
218347,Thijs,Reuten,ResettlementOpponent,NI,NLD
218347,Thijs,Reuten,ResettlementOpponent,SD,NLD
218347,Thijs,Reuten,ResettlementOpponent,SD,NLD
256904,Chloé,Ridel,ResettlementOpponent,SD,FRA
233862,Matjaž,Nemec,ResettlementOpponent,SD,SVN
233862,Matjaž,Nemec,ResettlementOpponent,SD,SVN
257101,Cecilia,Strada,ResettlementOpponent,SD,ITA
197447,Irena,Joveva,ENDEUIsraelAssociation,RENEW,SVN
197447,Irena,Joveva,ENDEUIsraelAssociation,RENEW,SVN
256993,Leire,Pajín,ResettlementOpponent,SD,ESP
197470,Saskia,Bricmont,ResettlementOpponent,GREEN_EFA,BEL
197470,Saskia,Bricmont,ResettlementOpponent,GREEN_EFA,BEL
256989,Fidias,Panayiotou,ENDEUIsraelAssociation,NI,CYP
197395,Alice,Kuhnke,ENDEUIsraelAssociation,GREEN_EFA,SWE
197395,Alice,Kuhnke,ENDEUIsraelAssociation,GREEN_EFA,SWE
197395,Alice,Kuhnke,ENDEUIsraelAssociation,GREEN_EFA,SWE
256917,Majdouline,Sbai,ResettlementOpponent,GREEN_EFA,FRA
124984,Lynn,Boylan,ResettlementOpponent,GUE_NGL,IRL
124984,Lynn,Boylan,ResettlementOpponent,GUE_NGL,IRL
23699,Kateřina,Konečná,ResettlementOpponent,GUE_NGL,CZE
23699,Kateřina,Konečná,ResettlementOpponent,GUE_NGL,CZE
23699,Kateřina,Konečná,ResettlementOpponent,NI,CZE
257067,Grzegorz,Braun,IsraelTerroristState,NI,POL
197552,Veronika,Vrecionová,ResettlementOpponent,ECR,CZE
197552,Veronika,Vrecionová,ResettlementOpponent,ECR,CZE
197552,Veronika,Vrecionová,ResettlementOpponent,ECR,CZE
197552,Veronika,Vrecionová,ResettlementOpponent,ECR,CZE
197552,Veronika,Vrecionová,ResettlementOpponent,ECR,CZE
197533,Manon,Aubry,ENDEUIsraelAssociation,GUE_NGL,FRA
197533,Manon,Aubry,ENDEUIsraelAssociation,GUE_NGL,FRA
197533,Manon,Aubry,ENDEUIsraelAssociation,GUE_NGL,FRA
197533,Manon,Aubry,ENDEUIsraelAssociation,GUE_NGL,FRA
245770,Irene,Montero,ResettlementOpponent,GUE_NGL,ESP
256806,Sebastian,Tynkkynen,Hostages,ECR,FIN
