person_id,first_name,last_name,theme_name,classification,group_code,country
2341,Michael,Gahler,CriticizesIsraelForWestBankOccupation,neutral,EPP,DEU
2341,Michael,Gahler,CriticizesIsraelForWestBankOccupation,neutral,EPP,DEU
256991,Sebastiaan,Stöteler,CriticizesIsraelForWestBankOccupation,neutral,PFE,NLD
257060,Arkadiusz,Mularczyk,CriticizesIsraelForWestBankOccupation,neutral,ECR,POL
130100,Hilde,Vautmans,CriticizesIsraelForWestBankOccupation,neutral,RENEW,BEL
130100,Hilde,Vautmans,CriticizesIsraelForWestBankOccupation,neutral,RENEW,BEL
197464,Hannah,Neumann,CriticizesIsraelForWestBankOccupation,opposes,GREEN_EFA,DEU
197464,Hannah,Neumann,CriticizesIsraelForWestBankOccupation,opposes,GREEN_EFA,DEU
197831,Hermann,Tertsch,CriticizesIsraelForWestBankOccupation,neutral,ECR,ESP
197831,Hermann,Tertsch,CriticizesIsraelForWestBankOccupation,neutral,PFE,ESP
257093,Carlo,Ciccioli,CriticizesIsraelForWestBankOccupation,neutral,ECR,ITA
204332,Barry,Andrews,CriticizesIsraelForWestBankOccupation,neutral,RENEW,IRL
204332,Barry,Andrews,CriticizesIsraelForWestBankOccupation,neutral,RENEW,IRL
111412,Villy,Søvndal,CriticizesIsraelForWestBankOccupation,opposes,GREEN_EFA,DNK
257005,Ľuboš,Blaha,CriticizesIsraelForWestBankOccupation,neutral,NI,SVK
257081,Sebastião,Bugalho,CriticizesIsraelForWestBankOccupation,neutral,EPP,PRT
197392,Evin,Incir,CriticizesIsraelForWestBankOccupation,opposes,SD,SWE
197392,Evin,Incir,CriticizesIsraelForWestBankOccupation,opposes,SD,SWE
197543,Bernard,Guetta,CriticizesIsraelForWestBankOccupation,opposes,RENEW,FRA
197543,Bernard,Guetta,CriticizesIsraelForWestBankOccupation,opposes,RENEW,FRA
197500,Mounir,Satouri,CriticizesIsraelForWestBankOccupation,neutral,GREEN_EFA,FRA
197500,Mounir,Satouri,CriticizesIsraelForWestBankOccupation,neutral,GREEN_EFA,FRA
197842,Elena,Yoncheva,CriticizesIsraelForWestBankOccupation,neutral,SD,BGR
197842,Elena,Yoncheva,CriticizesIsraelForWestBankOccupation,neutral,NI,BGR
197842,Elena,Yoncheva,CriticizesIsraelForWestBankOccupation,neutral,RENEW,BGR
197842,Elena,Yoncheva,CriticizesIsraelForWestBankOccupation,neutral,NI,BGR
210480,Marta,Temido,CriticizesIsraelForWestBankOccupation,opposes,SD,PRT
197655,Cristian,Terheş,CriticizesIsraelForWestBankOccupation,neutral,SD,ROU
197655,Cristian,Terheş,CriticizesIsraelForWestBankOccupation,neutral,ECR,ROU
197655,Cristian,Terheş,CriticizesIsraelForWestBankOccupation,neutral,ECR,ROU
197655,Cristian,Terheş,CriticizesIsraelForWestBankOccupation,neutral,ECR,ROU
220896,Reinhold,Lopatka,CriticizesIsraelForWestBankOccupation,neutral,EPP,AUT
256872,Fabrice,Leggeri,CriticizesIsraelForWestBankOccupation,opposes,PFE,FRA
257109,Marco,Squarta,CriticizesIsraelForWestBankOccupation,opposes,ECR,ITA
257109,Marco,Squarta,CriticizesIsraelForWestBankOccupation,opposes,ECR,ITA
257123,Lucia,Annunziata,CriticizesIsraelForWestBankOccupation,neutral,SD,ITA
112744,Tonino,Picula,CriticizesIsraelForWestBankOccupation,neutral,SD,HRV
112744,Tonino,Picula,CriticizesIsraelForWestBankOccupation,neutral,SD,HRV
218347,Thijs,Reuten,CriticizesIsraelForWestBankOccupation,neutral,NI,NLD
218347,Thijs,Reuten,CriticizesIsraelForWestBankOccupation,neutral,SD,NLD
218347,Thijs,Reuten,CriticizesIsraelForWestBankOccupation,neutral,SD,NLD
256904,Chloé,Ridel,CriticizesIsraelForWestBankOccupation,opposes,SD,FRA
233862,Matjaž,Nemec,CriticizesIsraelForWestBankOccupation,neutral,SD,SVN
233862,Matjaž,Nemec,CriticizesIsraelForWestBankOccupation,neutral,SD,SVN
256806,Sebastian,Tynkkynen,CriticizesIsraelForWestBankOccupation,neutral,ECR,FIN
256808,Petras,Gražulis,CriticizesIsraelForWestBankOccupation,opposes,ESN,LTU
257101,Cecilia,Strada,CriticizesIsraelForWestBankOccupation,opposes,SD,ITA
