person_id,first_name,last_name,theme_name,group_code,country
124875,Anders,Vistisen,RussianWarCrimes,ID,DNK
124766,Petras,Auštrevičius,RussianWarCrimes,RENEW,LTU
111412,Villy,Søvndal,RussianWarCrimes,GREEN_EFA,DNK
256929,René,Aust,RussianWarCrimes,ESN,DEU
197401,Karin,Karlsbro,RussianWarCrimes,RENEW,SWE
124867,Brando,Benifei,RussianWarCrimes,SD,ITA
220871,Rihards,Kols,RussianWarCrimes,ECR,LVA
197533,Manon,Aubry,RussianWarCrimes,GUE_NGL,FRA
197405,Jörgen,Warborn,RussianWarCrimes,EPP,SWE
257011,Lucia,Yar,RussianWarCrimes,RENEW,SVK
256804,Pekka,Toveri,RussianWarCrimes,EPP,FIN
197392,Evin,Incir,RussianWarCrimes,SD,SWE
204449,Riho,Terras,RussianWarCrimes,EPP,EST
256807,Dainius,Žalimas,RussianWarCrimes,RENEW,LTU
2341,Michael,Gahler,RussianWarCrimes,EPP,DEU
201945,Virginijus,Sinkevičius,RussianWarCrimes,GREEN_EFA,LTU
23788,Adam,Bielan,RussianWarCrimes,ECR,POL
256841,Helmut,Brandstätter,RussianWarCrimes,RENEW,AUT
103381,Terry,Reintke,RussianWarCrimes,GREEN_EFA,DEU
131580,Jordan,Bardella,RussianWarCrimes,ID,FRA
197497,Sven,Mikser,RussianWarCrimes,SD,EST
197464,Hannah,Neumann,RussianWarCrimes,GREEN_EFA,DEU
124766,Petras,Auštrevičius,TribunalForRussia,RENEW,LTU
220871,Rihards,Kols,TribunalForRussia,ECR,LVA
96934,Sandra,Kalniete,CivilianCasualtiesOutrage,EPP,LVA
124766,Petras,Auštrevičius,CivilianCasualtiesOutrage,RENEW,LTU
111412,Villy,Søvndal,CivilianCasualtiesOutrage,GREEN_EFA,DNK
190517,Martin,Schirdewan,CivilianCasualtiesOutrage,GUE_NGL,DEU
197401,Karin,Karlsbro,StressesRussianResponsibility,RENEW,SWE
124867,Brando,Benifei,CivilianCasualtiesOutrage,SD,ITA
220871,Rihards,Kols,CivilianCasualtiesOutrage,ECR,LVA
