person_id,first_name,last_name,theme_name,classification,group_code,country
96934,Sandra,Kalniete,RussianWarCrimes,opposes,EPP,LVA
96934,Sandra,Kalniete,RussianWarCrimes,opposes,EPP,LVA
96934,Sandra,Kalniete,RussianWarCrimes,opposes,EPP,LVA
96934,Sandra,Kalniete,RussianWarCrimes,opposes,EPP,LVA
96934,Sandra,Kalniete,TribunalForRussia,opposes,EPP,LVA
96934,Sandra,Kalniete,TribunalForRussia,opposes,EPP,LVA
96934,Sandra,Kalniete,TribunalForRussia,opposes,EPP,LVA
96934,Sandra,Kalniete,TribunalForRussia,opposes,EPP,LVA
218347,Thijs,Reuten,RussianWarCrimes,neutral,NI,NLD
218347,Thijs,Reuten,RussianWarCrimes,neutral,SD,NLD
218347,Thijs,Reuten,RussianWarCrimes,neutral,SD,NLD
218347,Thijs,Reuten,TribunalForRussia,neutral,NI,NLD
218347,Thijs,Reuten,TribunalForRussia,neutral,SD,NLD
218347,Thijs,Reuten,TribunalForRussia,neutral,SD,NLD
124875,Anders,Vistisen,RussianWarCrimes,supports,ID,DNK
124875,Anders,Vistisen,RussianWarCrimes,supports,PFE,DNK
124875,Anders,Vistisen,TribunalForRussia,neutral,ID,DNK
124875,Anders,Vistisen,TribunalForRussia,neutral,PFE,DNK
257076,Michał,Dworczyk,RussianWarCrimes,opposes,ECR,POL
257076,Michał,Dworczyk,TribunalForRussia,opposes,ECR,POL
124766,Petras,Auštrevičius,RussianWarCrimes,supports,RENEW,LTU
124766,Petras,Auštrevičius,RussianWarCrimes,supports,RENEW,LTU
124766,Petras,Auštrevičius,TribunalForRussia,supports,RENEW,LTU
124766,Petras,Auštrevičius,TribunalForRussia,supports,RENEW,LTU
111412,Villy,Søvndal,RussianWarCrimes,supports,GREEN_EFA,DNK
111412,Villy,Søvndal,TribunalForRussia,neutral,GREEN_EFA,DNK
190517,Martin,Schirdewan,RussianWarCrimes,neutral,GUE_NGL,DEU
190517,Martin,Schirdewan,RussianWarCrimes,neutral,GUE_NGL,DEU
190517,Martin,Schirdewan,RussianWarCrimes,neutral,GUE_NGL,DEU
190517,Martin,Schirdewan,RussianWarCrimes,neutral,GUE_NGL,DEU
190517,Martin,Schirdewan,TribunalForRussia,neutral,GUE_NGL,DEU
190517,Martin,Schirdewan,TribunalForRussia,neutral,GUE_NGL,DEU
190517,Martin,Schirdewan,TribunalForRussia,neutral,GUE_NGL,DEU
190517,Martin,Schirdewan,TribunalForRussia,neutral,GUE_NGL,DEU
256929,René,Aust,RussianWarCrimes,supports,ESN,DEU
256929,René,Aust,TribunalForRussia,neutral,ESN,DEU
197401,Karin,Karlsbro,RussianWarCrimes,supports,RENEW,SWE
197401,Karin,Karlsbro,RussianWarCrimes,supports,RENEW,SWE
197401,Karin,Karlsbro,TribunalForRussia,neutral,RENEW,SWE
197401,Karin,Karlsbro,TribunalForRussia,neutral,RENEW,SWE
23781,Janusz,Lewandowski,RussianWarCrimes,opposes,EPP,POL
23781,Janusz,Lewandowski,RussianWarCrimes,opposes,EPP,POL
23781,Janusz,Lewandowski,TribunalForRussia,opposes,EPP,POL
23781,Janusz,Lewandowski,TribunalForRussia,opposes,EPP,POL
124867,Brando,Benifei,RussianWarCrimes,supports,SD,ITA
124867,Brando,Benifei,RussianWarCrimes,supports,SD,ITA
124867,Brando,Benifei,TribunalForRussia,neutral,SD,ITA
124867,Brando,Benifei,TribunalForRussia,neutral,SD,ITA
197623,Thierry,Mariani,RussianWarCrimes,neutral,ID,FRA
197623,Thierry,Mariani,RussianWarCrimes,neutral,PFE,FRA
197623,Thierry,Mariani,TribunalForRussia,neutral,ID,FRA
197623,Thierry,Mariani,TribunalForRussia,neutral,PFE,FRA
220871,Rihards,Kols,RussianWarCrimes,supports,ECR,LVA
220871,Rihards,Kols,TribunalForRussia,supports,ECR,LVA
197549,Markéta,Gregorová,RussianWarCrimes,neutral,GREEN_EFA,CZE
197549,Markéta,Gregorová,RussianWarCrimes,neutral,GREEN_EFA,CZE
197549,Markéta,Gregorová,TribunalForRussia,opposes,GREEN_EFA,CZE
197549,Markéta,Gregorová,TribunalForRussia,opposes,GREEN_EFA,CZE
197533,Manon,Aubry,RussianWarCrimes,supports,GUE_NGL,FRA
197533,Manon,Aubry,RussianWarCrimes,supports,GUE_NGL,FRA
